Time Start (s),Time End (s),Mean Acceleration y,Standard deviation Acceleration y,Variance Acceleration y,Peak to peak Acceleration y,Root mean square Acceleration y,Zero crossing rate Acceleration y,Mean absolute Acceleration y,Signal magnitude area Acceleration y,Mean frequency Acceleration y,Median frequency Acceleration y,a1 absolute mean Acceleration y,a2 absolute mean Acceleration y,a3 absolute mean Acceleration y,d1 absolute mean Acceleration y,d2 absolute mean Acceleration y,d3 absolute mean Acceleration y,a1 std Acceleration y,a2 std Acceleration y,a3 std Acceleration y,d1 std Acceleration y,d2 std Acceleration y,d3 std Acceleration y,a1 var Acceleration y,a2 var Acceleration y,a3 var Acceleration y,d1 var Acceleration y,d2 var Acceleration y,d3 var Acceleration y,a1 energy Acceleration y,a2 energy Acceleration y,a3 energy Acceleration y,d1 energy Acceleration y,d2 energy Acceleration y,d3 energy Acceleration y,Mean Gyroscope x,Standard deviation Gyroscope x,Variance Gyroscope x,Peak to peak Gyroscope x,Root mean square Gyroscope x,Zero crossing rate Gyroscope x,Mean absolute Gyroscope x,Signal magnitude area Gyroscope x,Mean frequency Gyroscope x,Median frequency Gyroscope x,a1 absolute mean Gyroscope x,a2 absolute mean Gyroscope x,a3 absolute mean Gyroscope x,d1 absolute mean Gyroscope x,d2 absolute mean Gyroscope x,d3 absolute mean Gyroscope x,a1 std Gyroscope x,a2 std Gyroscope x,a3 std Gyroscope x,d1 std Gyroscope x,d2 std Gyroscope x,d3 std Gyroscope x,a1 var Gyroscope x,a2 var Gyroscope x,a3 var Gyroscope x,d1 var Gyroscope x,d2 var Gyroscope x,d3 var Gyroscope x,a1 energy Gyroscope x,a2 energy Gyroscope x,a3 energy Gyroscope x,d1 energy Gyroscope x,d2 energy Gyroscope x,d3 energy Gyroscope x,Mean Gyroscope z,Standard deviation Gyroscope z,Variance Gyroscope z,Peak to peak Gyroscope z,Root mean square Gyroscope z,Zero crossing rate Gyroscope z,Mean absolute Gyroscope z,Signal magnitude area Gyroscope z,Mean frequency Gyroscope z,Median frequency Gyroscope z,a1 absolute mean Gyroscope z,a2 absolute mean Gyroscope z,a3 absolute mean Gyroscope z,d1 absolute mean Gyroscope z,d2 absolute mean Gyroscope z,d3 absolute mean Gyroscope z,a1 std Gyroscope z,a2 std Gyroscope z,a3 std Gyroscope z,d1 std Gyroscope z,d2 std Gyroscope z,d3 std Gyroscope z,a1 var Gyroscope z,a2 var Gyroscope z,a3 var Gyroscope z,d1 var Gyroscope z,d2 var Gyroscope z,d3 var Gyroscope z,a1 energy Gyroscope z,a2 energy Gyroscope z,a3 energy Gyroscope z,d1 energy Gyroscope z,d2 energy Gyroscope z,d3 energy Gyroscope z,Anomaly
40.07155097,42.57841322,9.71248771052,0.7759616206196829,0.6021164366747246,5.007000443,9.7434045306166,0.0,9.71248771052,9712.48771052,14.433442406972452,199.20000000000002,27.471063689198807,19.42497542104001,13.735531844599397,1.1335199360003358,0.5108501575448444,0.0710303759773262,1.4501978148647234,1.4056078752947894,1.092984873163672,1.3595562864194282,0.6430383867530689,0.0917208128586294,2.1030737022384187,1.9757334990907323,1.1946159329646082,1.8483932959425862,0.41349836683798935,0.008412707511447718,756762.4139182556,379305.4036070992,189859.45098696876,1848.393295942586,413.4983668379894,8.412707511447717,-5.390000343669943e-05,0.10106901934498796,0.010214946671357552,0.6120124757000001,0.10101848657496591,0.0895,0.0798828246706197,79.8828246706197,33.07124093074128,188.4,0.09997303373476464,0.14996077956908602,0.11297721785938168,0.19029301009664384,0.053280870137117776,0.003602025172975794,0.1322853476106335,0.19193127939125162,0.142769371912103,0.2370143852702698,0.06267831446026131,0.005135162431292269,0.017499413192466142,0.036837616008762696,0.02038309355617639,0.05617581882504388,0.0039285711035794025,2.6369893195755525e-05,17.499436434149104,36.83762762960417,20.383099366597133,56.17581882504388,3.9285711035794018,0.026369893195755525,-0.0023666498201214007,0.07158187854740139,0.005123965336374924,0.38115000720000003,0.07158521077994832,0.0465,0.0562680245690194,56.2680245690194,25.557138590845575,190.4,0.13777242223408775,0.11055586002830263,0.0795743862260989,0.06981786057567516,0.019963717728530735,0.0016543968528771444,0.17946270472966974,0.14094888964806243,0.10115370829678945,0.08675434627240391,0.024444956767415458,0.002368552276201718,0.032206862388888625,0.01986658949302168,0.010232072702191971,0.0075263165971521636,0.0005975559113608109,5.610039885100341e-06,32.251670639857274,19.888993618506,10.24327476493413,7.526316597152163,0.5975559113608109,0.005610039885100341,Mild
103.1445906,105.6514832,9.658239135786,1.1501688793687102,1.3228884510682744,5.854050159000001,9.726415000741307,0.0,9.658239135786,9658.239135786,15.589219698560973,199.20000000000002,27.317625548942342,19.316478271572006,13.658812774471164,1.667475033053484,1.408102685303109,0.12685703591040814,1.2679252170965318,1.6306979393600105,1.6187360812208278,1.9263221907865093,1.6066851688669996,0.15107820685987325,1.6076343561492876,2.6591757694329847,2.6203065006461626,3.7107171827165373,2.5814372318571794,0.022824624587994655,747860.2999883767,375785.5085855465,189183.47290870285,3710.7171827165366,2581.437231857179,22.824624587994656,0.0029753624546026004,0.07527525220515514,0.005666363594549715,0.5083375126,0.0752964143415304,0.113,0.059859112123455,59.859112123455,38.736746038429985,186.0,0.06833213388732935,0.10052449729936976,0.08441112010654257,0.12487926569901601,0.06693067554806466,0.006587242625712129,0.08792679591173384,0.12821303558965366,0.10610737012260722,0.15857504075647366,0.07796772084363418,0.007913309520915894,0.0077311214393036955,0.016438582495113797,0.011258773994335959,0.025146043550917287,0.006078965493550868,6.262046757381813e-05,7.801943693193765,16.473993622058835,11.276479557808477,25.146043550917287,6.078965493550869,0.06262046757381813,-3.987520911200581e-06,0.039534512833552034,0.0015629777049862904,0.29686250540000003,0.039514740834043535,0.0515,0.0296217623383988,29.621762338398803,28.145265897031752,186.4,0.0707925501062063,0.05822584988590224,0.041865988425655656,0.04131825449527558,0.011980181041714643,0.0014298798968124928,0.0952792554128794,0.07746914343574016,0.055844181983904305,0.0540814187803991,0.0153517796439055,0.0020631997264375737,0.009078136512032708,0.006001468184667282,0.0031185726614514223,0.0029247998573009044,0.00023567713823503128,4.256793111172079e-06,9.078136639235293,6.001468248268575,3.1185726932520685,2.924799857300904,0.23567713823503128,0.0042567931111720785,Mild
105.701621,108.2085148,9.663856510187001,1.078918821065843,1.1640658224501086,6.808950425999999,9.72383794631067,0.0,9.663856510187001,9663.856510187,14.09309243621089,199.20000000000002,27.333513883067987,19.32771302037401,13.666756941533986,1.5816502403523436,1.352847816526983,0.12122338948095998,1.0783719381342314,1.5000077695318639,1.5184378929144589,1.8267896924266696,1.5366469863371657,0.14195026811029118,1.1628860369553786,2.2500233086559573,2.3056536346385017,3.337160580356326,2.3612839606190934,0.02014987861658355,748283.8672328256,375810.51390659093,189085.89893360593,3337.160580356326,2361.283960619093,20.14987861658355,0.0015765749888369991,0.0825722408719526,0.006818174962615759,0.8062999844000001,0.08254600157699081,0.108,0.0621832747421966,62.1832747421966,36.10756220681399,188.8,0.08471831840447715,0.10622561347526813,0.08764682169371807,0.12453223336643657,0.06346675845874912,0.006105065394748684,0.12022793655158504,0.14780820570720227,0.11647905260111846,0.17099641698381157,0.07271501712382918,0.007439346775875054,0.014454756727451957,0.02184726567438262,0.01356736969485412,0.029239774621301565,0.0052874737153187695,5.534388045172256e-05,14.47464143701537,21.857208029164326,13.572340872244974,29.23977462130156,5.287473715318769,0.05534388045172255,0.008064649863042402,0.030212923393379703,0.0009128207399742305,0.2590500042,0.0312561433425131,0.0655,0.022822524812766403,22.822524812766403,33.64698394126462,186.0,0.046408950342415246,0.04483332410809138,0.03232995853784227,0.04364726957747724,0.01108803824826332,0.001312883988406316,0.055584931282824684,0.05851214642340116,0.042658445910273714,0.06129973876313789,0.01469063429145869,0.0020181256127297497,0.003089684585716342,0.0034236712790735374,0.0018197430074797483,0.00375765797242895,0.00021581473588538195,4.072830988755828e-06,3.6099932050241006,3.6838255887274176,1.9498201623066875,3.75765797242895,0.21581473588538191,0.004072830988755828,Mild
106.5539648,109.0608589,9.693939009658,1.0892722362744718,1.1865140047183886,7.101900579999999,9.754884982083736,0.0,9.693939009658,9693.939009658,14.485148431204525,199.20000000000002,27.418600040551922,19.38787801931601,13.709300020275956,1.5200488410033708,1.3299222181201562,0.12457946933284264,1.2743287428338657,1.5423081886166439,1.5324996686606884,1.7701738198649069,1.5226279651360772,0.14865983647908843,1.6239137448125402,2.3787145486739534,2.34855523444512,3.1335153525351154,2.3183959202144315,0.022099746981989313,753403.5419285665,378268.5286405508,190293.46228038345,3133.5153525351157,2318.3959202144315,22.099746981989313,0.0033093499771838985,0.08245132054460386,0.006798220259549015,0.8062999844000001,0.08247650475475396,0.1045,0.0621920746876673,62.1920746876673,34.117782708101416,190.0,0.08708575764935211,0.1056675935674748,0.08769172584312498,0.1236427707063744,0.062249334078474196,0.005951077371137932,0.1216940581436221,0.14799432017061215,0.1163225316093559,0.17027975163843884,0.07182996531567334,0.007205048130921567,0.014809443787463274,0.02190231880276166,0.013530931360009603,0.028995193818048413,0.005159543917250836,5.191271856889637e-05,14.897058165635167,21.94612599184761,13.552834954552578,28.995193818048417,5.159543917250836,0.051912718568896364,0.006465112349777699,0.03269360987152222,0.0010688721264312953,0.2590500042,0.03331067294426986,0.0555,0.0251139622896527,25.1139622896527,28.765091706158618,186.0,0.054514492052122464,0.049273115037595946,0.03554003671730528,0.04148878934025524,0.011369279987548903,0.0013319242335765855,0.06712991640330428,0.06356855157194609,0.04617850072945015,0.05979544984021758,0.01496486252138442,0.0017755503343725152,0.004506425676314621,0.004040960748955169,0.002132453929619828,0.0035754958215939766,0.0002239471102839361,3.1525789898903507e-06,4.840807097876608,4.208151459736161,2.2160492850103246,3.5754958215939765,0.2239471102839361,0.0031525789898903507,Mild
108.2586528,110.7655472,9.651857845288,1.3027179642577904,1.6970740943999618,9.26595068,9.739288315167236,0.0,9.651857845288,9651.857845288,16.66646465488538,198.8,27.299576533806913,19.30371569057601,13.649788266903451,1.5131397711292394,1.1873581451204767,0.12492218721044578,2.4360655870174206,2.1577251505207107,1.8346660173660014,1.8376996778929962,1.4409097700286346,0.15733609037117469,5.93441554425053,4.655777825189624,3.365999395277625,3.377140106128022,2.0762209653639725,0.024754645333286446,751201.2944694316,377289.21728778,189682.71912657272,3377.140106128022,2076.2209653639725,24.754645333286447,-0.0028817249482336,0.11103711662554928,0.012329241268515832,0.7660124898,0.11101899101471148,0.0885,0.084771774545288,84.771774545288,31.212650171823103,188.4,0.1365466215166857,0.1559570309891139,0.11975940646445002,0.16657675505952857,0.05863650684945219,0.0059031631291148745,0.19873854909384314,0.2097539328549771,0.15677120095493668,0.220219013257963,0.07181717447496315,0.007524267781062303,0.0394970108959259,0.04399671234813023,0.024577209448853145,0.04849641380031089,0.005157706549567298,5.661460564113223e-05,39.563445605344086,44.02992970283931,24.593818126207687,48.49641380031089,5.157706549567298,0.056614605641132236,-0.0078181125766276,0.05841763554127357,0.003412620142233069,0.3921499998,0.05890951032177791,0.0545,0.042317137334970396,42.3171373349704,24.048819226804152,189.20000000000002,0.10201791397373071,0.08288332438003965,0.05987939547407712,0.05810202584351498,0.015013707442935413,0.0016516437932993123,0.14326617932020297,0.11520782948697673,0.08254526577756864,0.07759181537500354,0.018830768159523212,0.002166596845797099,0.020525198137008552,0.013272843975100306,0.006813720902289445,0.006020489813188636,0.0003545978294777132,4.694141892217937e-06,21.01418121109513,13.517335512143596,6.935966670811091,6.020489813188636,0.3545978294777132,0.004694141892217937,Mild
122.748508,125.2554084,9.623258853823,0.8810223326391919,0.776200350609003,8.830049994,9.663463929561756,0.0,9.623258853823,9623.258853823,13.315069507458382,199.20000000000002,27.218686370606925,19.24651770764601,13.609343185303457,1.0311228927043994,0.6331158675682448,0.07869235621377081,1.6091679946918127,1.5203507604540354,1.2401885263335726,1.4260123542541001,0.8744533874855612,0.11305184504143856,2.5894216351404697,2.3114664348131635,1.5380675808494382,2.0335112344853212,0.764668726884973,0.012780719667273436,743446.3093766035,372739.9103055445,186752.28951621504,2033.5112344853217,764.668726884973,12.780719667273436,-0.0032462374472885004,0.09646109076544826,0.009304742031660047,0.9186375141,0.09646748336715623,0.078,0.07382718706920849,73.82718706920849,33.22368575732296,185.60000000000002,0.11560842379682003,0.14140571653439615,0.1040495905131077,0.16425271628651944,0.036751199513265616,0.003264289939585559,0.14666307429505723,0.1865349738942923,0.13627348101448694,0.2192727425144016,0.04843167114461587,0.004518069438485726,0.02151005736167748,0.03479529648574431,0.01857046162780573,0.04808053560978706,0.0023456267698602176,2.0412951450978717e-05,21.594361822190905,34.83744871600102,18.591537742934086,48.08053560978707,2.3456267698602176,0.02041295145097872,-0.011006599905628101,0.06274850831282641,0.003937375295484846,0.390912503,0.0636756088441401,0.047,0.0518900248434589,51.8900248434589,25.11016214738588,188.4,0.11992388108095077,0.10306651888275435,0.0734107677611523,0.0754616458916955,0.015477312165512284,0.0014354006215514263,0.1450326573410198,0.12372633801559166,0.08867436517427953,0.0978873931724354,0.02044698900506205,0.0019320458890099285,0.021034471695397662,0.01530820671874844,0.007863143039061478,0.009581941742094953,0.0004180793593731284,3.732801317240165e-06,22.003633627258246,15.792787684678732,8.10543352202662,9.581941742094951,0.41807935937312846,0.0037328013172401647,Mild
124.4532002,126.9601013,9.668303707095001,1.1788028988789225,1.389576274405351,9.951000216,9.739829735203685,0.0,9.668303707095001,9668.303707095001,15.333035268755449,198.8,27.346092455431663,19.336607414190006,13.673046227715824,1.1592482091816696,0.7098332783006506,0.08680525646408857,2.4299381984127497,2.10104788934734,1.6615485296618742,1.7100306484257657,1.0521809727946698,0.12501951783719553,5.9045996481054,4.414402233330912,2.760743516421536,2.9242048185554443,1.1070847995111377,0.015629879840244852,753713.3722291217,378318.7885238389,189712.93666167546,2924.204818555445,1107.0847995111376,15.629879840244852,-0.0012297999944180997,0.12540897084800187,0.015727409969154983,1.0041624903,0.12535228345431965,0.071,0.0956172245953505,95.6172245953505,31.800757122524733,187.60000000000002,0.1555072147128714,0.18556877238536693,0.13505957444770184,0.21189696587212642,0.039706090949164524,0.003484091851983761,0.20431108015843197,0.24436831484212615,0.17719563804423313,0.27872697953735115,0.05550418889610703,0.005007092616354845,0.04174301747550521,0.059715873298780496,0.03139829414190288,0.07768872912201497,0.003080714985014731,2.5070976468755208e-05,41.755116739715376,59.72192293088558,31.401318957955418,77.68872912201496,3.0807149850147306,0.02507097646875521,0.0005092998871616996,0.07470014208652108,0.0055801112277464385,0.4813874959,0.07466451970577294,0.06,0.05944922478647071,59.44922478647071,25.24180331237792,187.60000000000002,0.1284154599562603,0.1170250649336184,0.08405615723152501,0.10468613502128275,0.018237846404753007,0.0016180755229779117,0.16651959043072911,0.14741235956846338,0.10555933589100522,0.1254274033449512,0.02356147350986572,0.002507755826898006,0.027728773997217775,0.021730403753541936,0.011142773393750062,0.015732033509857073,0.000555143033956104,6.288839287340903e-06,27.730849088218275,21.73144129904219,11.143292166500189,15.732033509857072,0.555143033956104,0.006288839287340905,Mild
126.1578928,128.6647943,9.631908754322,1.1006668165588886,1.2114674410738782,8.973900795999999,9.69453053145007,0.0,9.631908754322,9631.908754322,15.035876089061134,199.20000000000002,27.24315198380465,19.26381750864401,13.621575991902318,0.8959893470848652,0.6427385629160302,0.08279513354813389,2.4119069013232988,1.9663650062074964,1.551012338488119,1.3841559791522775,0.9719502099627416,0.12195356953827952,5.817294900650956,3.866591337637408,2.405639274142383,1.915887774623,0.9446872106466174,0.014872673123127976,748006.6249133302,374961.2563439768,187952.97177731205,1915.887774623,944.6872106466175,14.87267312312798,-0.000992475016812599,0.11238364662272764,0.01263008402822212,0.8320124744999999,0.11233182519149637,0.071,0.08755037462817501,87.550374628175,30.04273427374418,187.20000000000002,0.14510540910375228,0.16986679735055246,0.12361897055286102,0.1877273804385897,0.034782985008941024,0.00325205894347776,0.20161156918094356,0.21926524010437334,0.158781652356255,0.23559980095157837,0.04843532524851371,0.00482646489733031,0.040647224827602385,0.04807724551802849,0.025211613124982615,0.055507266208423355,0.00234598073192931,2.3294763405161678e-05,40.65510488087436,48.08118554466448,25.21358313830061,55.50726620842336,2.34598073192931,0.023294763405161678,0.0055126499262954,0.07271938635119579,0.0052881091512944805,0.4813874959,0.07289177149276228,0.06,0.0582309747653374,58.2309747653374,25.735559617061778,187.20000000000002,0.12386576942042928,0.11525453652494569,0.08233330314093593,0.10256057377119791,0.01588055507501834,0.0013968955977405573,0.16364678064104698,0.14393795484978664,0.10277098668688163,0.12106197123163796,0.020139924598900242,0.0019407162830275238,0.026780268814178953,0.020718134846339217,0.010561875704595202,0.014656000878489938,0.00040561656284938713,3.766379691208168e-06,27.02338328785803,20.839692083178758,10.62265432301497,14.65600087848994,0.40561656284938713,0.0037663796912081678,Mild
130.4196259,132.926529,9.599881351002,1.0536674569120859,1.1102151097555821,10.080000403,9.657475179774567,0.0,9.599881351002,9599.881351002,19.75650058894185,198.4,27.152564807519173,19.19976270200401,13.576282403759581,1.0422938077165338,0.7369475120991439,0.09169992019786326,2.04289909913513,1.8115393233297348,1.483333020665121,1.54593425173648,1.0577707598625252,0.13391392420514706,4.173436729247126,3.281674719969953,2.200276850195512,2.3899127106920304,1.1188789804201438,0.017932939096021873,741435.212355776,371912.56253323425,186515.72075682753,2389.9127106920305,1118.8789804201435,17.93293909602187,-0.0034274623389593997,0.10857633871962574,0.0117888213297589,0.9982500077,0.10857614842364839,0.076,0.08343348717143662,83.43348717143661,32.70354618008657,182.4,0.12272194939448634,0.16235393964541092,0.11788537807032143,0.194633373101166,0.04032678658765374,0.0038130478632698262,0.17385866295549635,0.20949126964752732,0.15334483992071907,0.2398882019449162,0.05605968071689527,0.00627893992224857,0.030226834684672875,0.043886592058533,0.023514639930310957,0.05754634943236489,0.00314268780208024,3.942508654720688e-05,30.32081466935276,43.93358205087294,23.53813492648093,57.54634943236489,3.14268780208024,0.03942508654720688,-0.0013697750008372,0.0676180632295493,0.004572202474915327,0.5913875103,0.06759812538815946,0.068,0.0504605747909668,50.4605747909668,24.10908249889394,186.0,0.10008351667376002,0.10005034834712107,0.07134581788695124,0.093142739163515,0.016438121152785392,0.001578103587331285,0.1535942497711314,0.1334615580928135,0.09555231918780482,0.1096940354547999,0.021177911034218705,0.002239384449510001,0.0235911935627567,0.01781198748856143,0.009130245702168133,0.012032781414358899,0.00044850391577328235,5.01484271270721e-06,23.60620383118005,17.8194926227731,9.13399826927397,12.032781414358897,0.44850391577328236,0.0050148427127072095,Mild
134.681362,137.1882685,9.556462488189002,0.9422722140753053,0.8878769254183778,8.481000427999998,9.602758162978825,0.0,9.556462488189002,9556.462488189001,14.672344580351128,199.20000000000002,27.02975771821325,19.11292497637801,13.51487885910662,0.8998674894118981,0.6415024900836316,0.07382386112773075,1.8377128461275807,1.6115615365687148,1.3278131962966395,1.347988378092629,0.963869899089324,0.1043561820225667,3.377188504822333,2.5971305861477174,1.7630878842594981,1.8170726674727964,0.9290451823704636,0.010890212726327075,733984.9908101312,367901.031738802,184415.03846058657,1817.0726674727964,929.0451823704635,10.890212726327078,0.0036133624192294,0.08945077082756177,0.008001440401644976,0.4775374979,0.08947902183873062,0.076,0.0735156120493822,73.5156120493822,34.022660085195184,186.4,0.10316569858426057,0.14180262040925545,0.1039175834724297,0.17043270142164557,0.03636953314048559,0.0029299807045764766,0.13175367024003432,0.17192416248805198,0.1263737964025526,0.20434482051840522,0.048813473418340705,0.0040671249418645,0.017359029621719705,0.029557917647218095,0.01597033641719382,0.041756805672699245,0.002382755187163055,1.6541505292736312e-05,17.463480725501302,29.61014319910889,15.996449193139219,41.756805672699244,2.3827551871630552,0.016541505292736312,0.0092654374616139,0.05574586279484589,0.003107601218741783,0.3811499924,0.056483112067928054,0.0655,0.0461536622528449,46.1536622528449,27.470177782143626,186.4,0.08820784473883181,0.09087611750352224,0.06521156013069809,0.09355164904119315,0.016277903335762928,0.0015995324061128704,0.10888720239257217,0.10940128400238437,0.07874358188716715,0.10991296119135892,0.02079573118382866,0.002904401250703413,0.011856422844880974,0.011968640941370363,0.006200551688420999,0.012080859037853171,0.00043246243547006365,8.43554662508755e-06,12.543209495721602,12.312034266790675,6.372248351131156,12.080859037853173,0.43246243547006363,0.00843554662508755,Mild
